"","Theme","Category","Source","Valence_mean_men","Valence_SD_men","Valence_N_men","Arousal_mean_men","Arousal_SD_men","Arousal_N_men","Valence_mean_women","Valence_SD_women","Valence_N_women","Arousal_mean_women","Arousal_SD_women","Arousal_N_women"
"I1","Acorns 1","2","Pixabay","4.66666666666667","0.953462589245592","45","4.71428571428571","0.966987556830456","56","2.24489795918367","1.57494195984193","49","2.44230769230769","1.6379501960211","52"
"I2","Acorns 2","2","Pixabay","4.40909090909091","0.692759289655365","44","4.60344827586207","0.935454766455703","58","2.51063829787234","1.51617855472426","47","1.94230769230769","1.19498070438867","52"
"I3","Acorns 3","2","Pixabay","4.68888888888889","0.848051837561784","45","4.82142857142857","1.04632939115997","56","2.3469387755102","1.5076336370861","49","2.26923076923077","1.53540420194437","52"
"I4","Alcohol 1","2","Pixabay","4.70175438596491","1.3623104361014","57","4.66666666666667","0.972967967955095","51","2.6530612244898","1.71453371222036","49","3.05454545454545","1.67130667241712","55"
"I5","Alcohol 2","2","Pixabay","4.28070175438596","1.27831342519453","57","4.2156862745098","0.965685776848682","51","2.81632653061224","1.64156263698845","49","3.16363636363636","1.75080549043001","55"
"I6","Alcohol 3","2","Pixabay","4.14035087719298","1.04263739230356","57","4.19607843137255","0.848990172926336","51","2.46938775510204","1.43035602817863","49","2.23636363636364","1.34665066497144","55"
"I7","Alcohol 4","2","Pixabay","4.73684210526316","1.20306625796447","57","4.80392156862745","1.1492538073574","51","2.77551020408163","1.6616420859405","49","2.94545454545455","1.64899724656893","55"
"I8","Alcohol 5","2","Pixabay","5.38636363636364","1.03913893448305","44","5.29310344827586","1.19954115042663","58","3.40425531914894","1.46939168821489","47","3.67307692307692","1.70030163236575","52"
"I9","Alcohol 6","2","Pixabay","4.49122807017544","1.18205038292343","57","4.58823529411765","0.875818944491047","51","2.61224489795918","1.59185853813779","49","2.67272727272727","1.67834293779162","55"
"I10","Alcohol 7","2","Pixabay","4.43103448275862","1.12565098460444","58","4.53488372093023","1.202157528884","43","3.20408163265306","1.59399382888724","49","3.07547169811321","1.73037408809787","53"
"I11","Alcohol 8","2","Pixabay","5.25862068965517","1.06886305931323","58","5.76744186046512","1.087531265064","43","3.59183673469388","1.63195137982798","49","3.9811320754717","1.88608840275048","53"
"I12","Ambulance 1","2","Pixabay","2.6140350877193","1.09795891747422","57","2.01960784313725","0.948476590716532","51","3.75510204081633","1.77400925689169","49","4.52727272727273","1.77278338856188","55"
"I13","Ambulance 2","2","Pixabay","3.48275862068966","1.15836211213036","58","2.76744186046512","0.781854002396306","43","3.53061224489796","1.67209998724566","49","3.32692307692308","1.79018187099013","52"
"I14","Ambulance 3","2","Pixabay","3.63793103448276","1.03784993442616","58","2.81395348837209","1.00607237156816","43","3.55102040816327","1.72072204430044","49","3.66037735849057","1.87024675692412","53"
"I15","Angry face 1","3","Pixabay","3.47727272727273","0.976196614861375","44","3.31034482758621","0.940453353753822","58","3.29787234042553","1.3817898540444","47","3.26923076923077","1.57324922443075","52"
"I16","Angry face 2","3","Wikipedia","3.15555555555556","0.952402597156637","45","3.05357142857143","1.08576982086265","56","3.83673469387755","1.58570356066729","49","3.25","1.73629084037005","52"
"I17","Angry face 3","3","Wikipedia","2.55555555555556","0.966614418650702","45","2.48214285714286","1.1280082434994","56","3.85714285714286","1.80277563773199","49","3.48076923076923","1.7766501262746","52"
"I18","Angry face 4","3","Flickr/Jan Tik","2.51111111111111","1.19890522451682","45","2.5","1.09544511501033","56","3.79591836734694","1.97884216817072","49","3.94230769230769","1.7535785432625","52"
"I19","Angry face 5","3","Flickr/Bart","3.06818181818182","1.06525959872934","44","2.68965517241379","0.977050637983162","58","3.27659574468085","1.69015213695941","47","3.86538461538462","1.78258290409023","52"
"I20","Angry pose 1","3","Pixabay","3","1.01770048919821","57","2.6078431372549","1.0407388024389","51","3.3265306122449","1.74866324066462","49","3.87272727272727","1.80590128780049","55"
"I21","Angry pose 2","3","Flickr/madstreetz","2.94736842105263","1.12473890036086","57","2.64705882352941","0.820329919282838","51","3.26530612244898","1.53806575233421","49","4.12727272727273","1.87630986794258","55"
"I22","Animal carcass 1","1","Wikipedia","2.96491228070175","1.32240193102094","57","2.45098039215686","1.0828430263006","51","3.46938775510204","2.01144683433267","49","4.03636363636364","2.07242599263508","55"
"I23","Animal carcass 2","1","Wikipedia","3.47727272727273","1.19083000883274","44","3.08620689655172","1.5250479746106","58","3.8936170212766","1.61829274711226","47","4.23076923076923","1.7220073172328","52"
"I24","Animal carcass 3","1","Wikipedia","3.07017543859649","1.43750340524823","57","2.3921568627451","1.18454094690811","51","3.89795918367347","1.99211882551368","49","4.89090909090909","1.95952306435281","55"
