timestamps,TP9,AF7,AF8,TP10,Right AUX,Marker0
1596692430.849,-34.668,-27.344,-8.789,-28.320,0.000,0
1596692430.853,-36.133,-22.949,-10.254,-38.574,0.000,0
1596692430.857,-35.645,-21.973,-10.254,-41.016,0.000,0
1596692430.861,-22.949,-24.414,-10.254,-31.738,0.000,0
1596692430.865,-16.113,-21.484,-14.648,-29.297,0.000,0
1596692430.869,-35.645,-25.879,-17.090,-35.645,0.000,0
1596692430.873,-44.922,-29.297,-16.113,-37.109,0.000,0
1596692430.877,-41.016,-30.762,-16.602,-28.320,0.000,0
1596692430.881,-37.109,-32.227,-15.137,-17.578,0.000,0
1596692430.884,-33.691,-24.414,-7.324,-28.809,0.000,0
1596692430.888,-33.203,-23.438,-6.836,-35.645,0.000,0
1596692430.892,-27.832,-24.902,-11.719,-23.926,0.000,0
1596692430.896,-17.090,-20.508,-8.789,-11.719,0.000,0
1596692430.900,-9.277,-19.531,-9.766,-13.672,0.000,0
1596692430.904,-12.207,-18.066,-11.719,-25.879,0.000,0
1596692430.908,-20.996,-16.113,-11.719,-23.926,0.000,0
1596692430.912,-17.578,-19.531,-15.137,-12.695,0.000,0
1596692430.916,-13.184,-21.484,-14.160,-16.113,0.000,0
1596692430.920,-19.043,-22.949,-14.648,-30.762,0.000,0
1596692430.923,-25.879,-27.344,-14.160,-30.273,0.000,0
1596692430.927,-29.297,-30.273,-16.113,-26.855,0.000,0
1596692430.931,-20.508,-31.738,-20.020,-35.645,0.000,0
1596692430.935,-20.996,-30.273,-16.113,-39.551,0.000,0
1596692430.939,-28.320,-29.297,-16.113,-41.992,0.000,0
1596692430.943,-21.973,-29.297,-19.531,-35.645,0.000,0
1596692430.947,-21.973,-26.855,-18.066,-26.855,0.000,0
1596692430.951,-27.344,-28.809,-19.531,-25.391,0.000,0
1596692430.955,-35.156,-33.203,-23.438,-30.273,0.000,0
1596692430.959,-40.039,-29.785,-26.367,-41.016,0.000,0
1596692430.963,-37.598,-25.391,-22.461,-32.227,0.000,0
1596692430.966,-30.273,-25.879,-18.555,-20.996,0.000,0
1596692430.970,-22.949,-24.902,-15.137,-36.133,0.000,0
1596692430.974,-24.902,-20.508,-12.695,-44.922,0.000,0
1596692430.978,-26.855,-22.461,-16.113,-29.785,0.000,0
1596692430.982,-26.855,-27.344,-21.484,-28.809,0.000,0
1596692430.986,-29.297,-31.250,-23.438,-37.598,0.000,0
1596692430.990,-26.855,-31.250,-18.555,-33.691,0.000,0
1596692430.994,-19.043,-26.855,-15.625,-24.414,0.000,0
1596692430.998,-17.090,-25.391,-19.531,-21.973,0.000,0
1596692431.002,-29.785,-24.414,-17.578,-28.809,0.000,0
1596692431.006,-37.109,-22.949,-14.160,-30.762,0.000,0
1596692431.009,-29.297,-23.926,-17.090,-30.762,0.000,0
1596692431.013,-16.602,-25.391,-18.066,-15.625,0.000,0
1596692431.017,-16.113,-20.020,-12.207,-10.742,0.000,0
1596692431.021,-17.578,-17.090,-8.789,-34.668,0.000,0
1596692431.025,-11.719,-18.066,-5.859,-29.785,0.000,0
1596692431.029,-7.812,-22.461,-2.930,-10.254,0.000,0
1596692431.033,-2.930,-23.926,-2.930,-7.812,0.000,0
1596692431.037,-15.137,-20.508,-5.371,-15.137,0.000,0
1596692431.041,-26.855,-26.855,-6.348,-19.043,0.000,0
1596692431.045,-21.973,-27.832,-1.953,-21.484,0.000,0
1596692431.048,-20.996,-20.020,-0.488,-26.855,0.000,0
1596692431.052,-26.367,-19.531,-2.930,-37.109,0.000,0
1596692431.056,-20.996,-22.461,-4.883,-47.363,0.000,0
1596692431.060,-17.578,-19.531,-4.395,-32.715,0.000,0
1596692431.064,-22.461,-17.090,0.488,-20.996,0.000,0
1596692431.068,-22.949,-21.484,2.441,-36.621,0.000,0
1596692431.072,-23.926,-26.855,-0.977,-34.180,0.000,0
1596692431.076,-22.461,-28.320,-0.977,-18.555,0.000,0
1596692431.080,-17.578,-20.508,0.977,-21.484,0.000,0
1596692431.084,-17.090,-16.113,0.488,-26.367,0.000,0
1596692431.088,-24.902,-18.555,2.441,-32.227,0.000,0
1596692431.091,-29.297,-21.973,-1.953,-36.133,0.000,0
1596692431.095,-28.809,-24.902,-7.324,-28.320,0.000,0
1596692431.099,-30.762,-26.855,-9.277,-28.809,0.000,0
1596692431.103,-35.645,-33.691,-9.766,-35.156,0.000,0
1596692431.107,-41.992,-41.016,-6.836,-39.062,0.000,0
1596692431.111,-36.133,-43.457,-12.207,-37.109,0.000,0
1596692431.115,-20.996,-44.434,-19.043,-24.414,0.000,0
1596692431.119,-30.273,-41.016,-18.555,-20.996,0.000,0
1596692431.123,-42.969,-28.809,-12.207,-43.457,0.000,0
1596692431.127,-29.785,-25.879,-5.371,-36.621,0.000,0
1596692431.131,-18.066,-27.832,-13.184,-19.043,0.000,0
1596692431.134,-19.043,-26.855,-17.090,-25.879,0.000,0
1596692431.138,-23.438,-27.832,-11.719,-33.203,0.000,0
1596692431.142,-21.973,-28.809,-10.254,-33.691,0.000,0
1596692431.146,-18.066,-28.809,-11.230,-18.066,0.000,0
1596692431.150,-23.438,-29.785,-12.695,-18.066,0.000,0
1596692431.154,-35.156,-31.738,-14.160,-40.527,0.000,0
1596692431.158,-33.203,-30.762,-12.207,-36.621,0.000,0
1596692431.162,-26.855,-34.180,-15.137,-27.344,0.000,0
1596692431.166,-31.250,-32.715,-20.020,-31.250,0.000,0
1596692431.170,-31.250,-23.926,-14.160,-37.109,0.000,0
1596692431.173,-27.832,-26.367,-10.254,-32.227,0.000,0
1596692431.177,-20.996,-34.180,-8.301,-22.949,0.000,0
1596692431.181,-13.184,-34.180,-6.836,-17.578,0.000,0
1596692431.185,-19.531,-30.762,-3.906,-22.461,0.000,0
1596692431.189,-29.785,-34.180,-7.812,-35.156,0.000,0
1596692431.193,-26.855,-29.297,-3.906,-29.785,0.000,0
1596692431.197,-20.996,-26.855,1.953,-20.996,0.000,0
1596692431.201,-16.113,-26.367,-0.977,-24.414,0.000,0
1596692431.205,-13.672,-20.996,-2.930,-26.855,0.000,0
1596692431.209,-16.113,-25.879,-1.465,-20.996,0.000,0
